naga95
2
/mnt/raidc2/ywang/hackathon/testset/ff14SBonlysc/03.md/amber19_cuda
shIdx: 1 , tgx: 0
shIdx: 2 , tgx: 1
shIdx: 3 , tgx: 2
shIdx: 4 , tgx: 3
shIdx: 5 , tgx: 4
shIdx: 6 , tgx: 5
shIdx: 7 , tgx: 6
shIdx: 8 , tgx: 7
shIdx: 9 , tgx: 8
shIdx: 10 , tgx: 9
shIdx: 11 , tgx: 10
shIdx: 12 , tgx: 11
shIdx: 13 , tgx: 12
shIdx: 14 , tgx: 13
shIdx: 15 , tgx: 14
shIdx: 16 , tgx: 15
shIdx: 17 , tgx: 16
shIdx: 18 , tgx: 17
shIdx: 19 , tgx: 18
shIdx: 20 , tgx: 19
shIdx: 21 , tgx: 20
shIdx: 22 , tgx: 21
shIdx: 23 , tgx: 22
shIdx: 24 , tgx: 23
shIdx: 25 , tgx: 24
shIdx: 26 , tgx: 25
shIdx: 27 , tgx: 26
shIdx: 28 , tgx: 27
shIdx: 29 , tgx: 28
shIdx: 30 , tgx: 29
shIdx: 31 , tgx: 30
shIdx: 0 , tgx: 31
shIdx: 1 , tgx: 0
shIdx: 2 , tgx: 1
shIdx: 3 , tgx: 2
shIdx: 4 , tgx: 3
shIdx: 5 , tgx: 4
shIdx: 6 , tgx: 5
shIdx: 7 , tgx: 6
shIdx: 8 , tgx: 7
shIdx: 9 , tgx: 8
shIdx: 10 , tgx: 9
shIdx: 11 , tgx: 10
shIdx: 12 , tgx: 11
shIdx: 13 , tgx: 12
shIdx: 14 , tgx: 13
shIdx: 15 , tgx: 14
shIdx: 16 , tgx: 15
shIdx: 17 , tgx: 16
shIdx: 18 , tgx: 17
shIdx: 19 , tgx: 18
shIdx: 20 , tgx: 19
shIdx: 21 , tgx: 20
shIdx: 22 , tgx: 21
shIdx: 23 , tgx: 22
shIdx: 24 , tgx: 23
shIdx: 25 , tgx: 24
shIdx: 26 , tgx: 25
shIdx: 27 , tgx: 26
shIdx: 28 , tgx: 27
shIdx: 29 , tgx: 28
shIdx: 30 , tgx: 29
shIdx: 31 , tgx: 30
shIdx: 0 , tgx: 31
shIdx: 1 , tgx: 0
shIdx: 2 , tgx: 1
shIdx: 3 , tgx: 2
shIdx: 4 , tgx: 3
shIdx: 5 , tgx: 4
shIdx: 6 , tgx: 5
shIdx: 7 , tgx: 6
shIdx: 8 , tgx: 7
shIdx: 9 , tgx: 8
shIdx: 10 , tgx: 9
shIdx: 11 , tgx: 10
shIdx: 12 , tgx: 11
shIdx: 13 , tgx: 12
shIdx: 14 , tgx: 13
shIdx: 15 , tgx: 14
shIdx: 16 , tgx: 15
shIdx: 17 , tgx: 16
shIdx: 18 , tgx: 17
shIdx: 19 , tgx: 18
shIdx: 20 , tgx: 19
shIdx: 21 , tgx: 20
shIdx: 22 , tgx: 21
shIdx: 23 , tgx: 22
shIdx: 24 , tgx: 23
shIdx: 25 , tgx: 24
shIdx: 26 , tgx: 25
shIdx: 27 , tgx: 26
shIdx: 28 , tgx: 27
shIdx: 29 , tgx: 28
shIdx: 30 , tgx: 29
shIdx: 31 , tgx: 30
shIdx: 0 , tgx: 31
shIdx: 1 , tgx: 0
shIdx: 2 , tgx: 1
shIdx: 3 , tgx: 2
shIdx: 4 , tgx: 3
shIdx: 5 , tgx: 4
shIdx: 6 , tgx: 5
shIdx: 7 , tgx: 6
shIdx: 8 , tgx: 7
shIdx: 9 , tgx: 8
shIdx: 10 , tgx: 9
shIdx: 11 , tgx: 10
shIdx: 12 , tgx: 11
shIdx: 13 , tgx: 12
shIdx: 14 , tgx: 13
shIdx: 15 , tgx: 14
shIdx: 16 , tgx: 15
shIdx: 17 , tgx: 16
shIdx: 18 , tgx: 17
shIdx: 19 , tgx: 18
shIdx: 20 , tgx: 19
shIdx: 21 , tgx: 20
