naga91
3
/mnt/raidc2/ywang/hackathon/testset/ff14SBonlysc/03.md/amber19_cuda
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 2.038931
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 1.295507
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 1.840689
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 3.415226
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 4.270801
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 3.627236
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 2.848809
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 4.884531
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.437882
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.733748
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.829575
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.216356
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.147789
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.083485
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.657611
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.958835
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 8.025901
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.434662
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 9.318235
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 9.580784
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10.243834
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10.048359
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 9.162000
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10.779980
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 11.405824
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 11.605505
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 12.108340
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 4.601464
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 3.649329
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.430473
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 6.179551
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 1.991914
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 2.038931
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 1.295507
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 1.840689
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 3.415226
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 4.270801
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 3.627236
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 2.848809
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 4.884531
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.437882
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.733748
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.829575
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.216356
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.147789
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.083485
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.657611
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.958835
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 8.025901
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 7.434662
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 9.318235
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 9.580784
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10.243834
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10.048359
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 9.162000
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 10.779980
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 11.405824
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 11.605505
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 12.108340
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 4.601464
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 3.649329
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 5.430473
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 6.179551
x: 0, y: 0, threadIdx.x : 0 , blockIdx.x: 0 , warpid: 0, laneid: 0, tgx: 0, shIdx: 1, shAtom.x : 1.991914
Note: The following floating-point exceptions are signalling: IEEE_INVALID_FLAG IEEE_UNDERFLOW_FLAG IEEE_DENORMAL
